,Unnamed: 0,0,1,2,grade
14,14,Best Inventions of 2021,"{'Science', 'Inventions'}","
TIME for Kids has picked the top inventions of the year. Some will help us work and learn. Others are just for fun. Read about the best inventions of 2021. Which do you like best?
Keeping Kids Calm

This fuzzy toy is called Purrble. It has a heartbeat. Pet the toy. Its heartbeat slows down. Purrble feels calm. That calms you down too.
Read to Me

Some people have trouble seeing or reading. The OrCam Read can help.  it at a book or page. Press a button. It will read out loud. 
 Without a Computer 

The Sphero Indi is a robotic car.  It teaches you coding. Pick a tile. It tells the car what to do. Green tiles make it go fast. Pink tiles tell it to turn left.
Helping Hand

The Mega  Hand is a robotic hand. You build it from a kit. Its fingers move with yours. It does not use electricity. It uses plastic tubes filled with water.
A Hospital Bot

 
Robin the Robot was created to help sick kids. It can talk and play games with them. This can make kids feel more comfortable.
A New Noodle

Dan Pashman wanted the perfect pasta. So he invented Cascatelli. The shape catches sauce. The size is perfect for a fork. The ruffles  are fun to chew. 
A Chair for Traveling

The Revolve Air is a wheelchair. Its wheels fold up. This makes it smaller. A smaller wheelchair is better for traveling. It can fit more easily on an airplane.
",k1
16,16,Seeing Spring,"{'The Human Body', 'Environment'}","
When winter ends, spring begins. The weather gets warmer. Plants and animals return. See how we use our senses to  the season. 
Seeing

 
Look! You can see lots of birds in the spring. Baby animals are born. Bears come out of .  
Smelling

 
Stop and smell the flowers. They  in spring. What is your favorite flower?  
Hearing 

Listen to the sounds of a spring storm. Rain is falling. Thunder is clapping. When it is over, birds will be chirping.
Tasting


 
Strawberries are ripe in spring. That means they are juicy, sweet, and ready to eat. Yum!
Touching 

 
You can feel the warm air on your skin. You feel wind blowing in your hair. What else can you feel in the spring? 
",k1
18,18,Spring Festival,"{'Culture', 'World'}","
Spring brings warmth and celebration. Here is how people celebrate spring around the world.
Spain

Las Fallas is a festival of fire. People build giant floats. They parade them through the streets. Then the floats are burned in bonfires.
India

Holi is a festival of colors. People throw brightly colored powders. Each has a meaning.
United States

Washington, D.C., has a cherry blossom festival. People enjoy the blooming trees each spring.
Thailand

The Thai New Year is called Songkran. It is known for splashing water. People throw water to wash away the past year.
",k1
19,19,Get Active!,"{'Community', 'Culture'}","
Some people work to protect the environment. Others want to make the world more fair. What is important to you? Here are some ways to make a difference. 
 a Group

In a group, people can share ideas. They work together to get things done. Go, team!
Raise Money

 and other groups accept donations. You can raise money for them. Organize a bake sale or toy drive with your group.
Talk to Leaders 

Share your ideas with community leaders. Tell them what is important to you and why.
Raise Awareness

Let the world hear your voice! Write your message on a sign. Put it in your yard or window. With an adult, join a kids’  in your town. 
Did You Know?

You can help make laws. Write a letter to your mayor. Send an email to your governor.  Your ideas might inspire government to take action.
",k1
20,20,Here to Help,"{'Opinion', 'Community'}","
Dear TIME for Kids, 
You often write about young  activists. I love it! They inspire me. How can I become an activist?  
Carolina Mariel Caraballo, 12 Bronx, New York

Dear Carolina, Anyone can become an activist if there is an issue they care about. I speak up about disabilities. I know what it is like to have one. I asked companies to offer dolls that look like me. Some listened. Now there is a Barbie with a prosthetic leg. That is made to replace a missing leg. But you do not need to do big things to make a change. If you help even one person, you have made a difference. —By Jordan Reeves
",k1
22,22,Art for Everyone,"{'Arts', 'Culture'}","
Grab a pencil and paper. Then follow the steps to draw a cat.
1. Start with a U shape. Connect the top. Add lines inside to guide you.

2. Make some ovals for the eyes and mouth. Add a triangle nose and a smile.

3. Draw more triangles for ears. Add features like a tongue and collar. 

4. Erase the guidelines. Then get creative! Add details and color to your cat. 


",k1
23,23,Awesome Orcas,"{'Science', 'Animals'}","
Have you heard of orcas? They are also called killer whales. That is because of their hunting skills. They eat fish, seals, and penguins. They even eat sharks! Orcas are smart and . Read more about them here.   
Around the World

Orcas are found in all oceans. Most swim in very cold waters. But some live in warm waters, too.
Powerful Pods

Orcas are social. Families live and hunt together. These groups are called pods.  
Strong Hunters

Orcas have different ways of hunting. One is to flap their tail in the water. This knocks seals off the ice. 
Their Own Language

Orcas  with one another. They make clicks and whistling sounds. They also use their tail to slap the water. This sound can be heard miles away. 
Did You Know?

Orcas are called killer whales. But they are not whales. Orcas are dolphins. They are the largest members of the dolphin family.  
",k1
24,24,Deep in the Sea,"{'Earth Science', 'Animals'}","
The ocean is deep. It is made up of different zones, or areas. Here are three of them. 
SUNLIGHT ZONE
This zone gets heat from the sun. It gets light, too. Most ocean plants and animals live here. 
TWILIGHT ZONE
This zone is cold and dark.  It does not get much light. Almost no plants grow here. Some of the animals in this zone make their own light. 
MIDNIGHT ZONE 
This zone is very cold. It does not get any sunlight. The only light comes from animals that make their own.  

",k1
30,30,Measuring Time,"{'Science', 'Culture'}","
There are many ways to count time. Time can be counted in minutes and hours. It can be counted in days, months, and years. Read on to see how we measure the passing of time. 
Rise and Shine! 

There are 24 hours in a day. An hour is 60 minutes.  
Counting the Days

There are seven days in a week. But there are only five days in the school week. Can you name them?
Month to Month 

There are four weeks in every month. Each month of the year has 28 to 31 days. Which month is your birthday in?
Ringing In the New Year

There are 12 months in the year. January is the first. December is the last. New Year’s Eve is on December 31. It is the last day of the year.
Did You Know?

In most years, February has 28 days. But once every four years, February has 29 days. This is called a leap year. 
",k1
31,31,What Time Is It?,"{'Places', 'United States'}","
You are in Georgia. It is 6:00 p.m. You call a friend in California. But she is not home. That is because it is 3:00 p.m. in California. She is still at school! 
Georgia and California are in different time . They are three hours apart. People in different places  their clocks to different times. Why? The Earth spins. When the sun is rising in one part of the world, it is setting in another.  
This map shows the four main time zones in the United States. Can you find your state? (Alaska and Hawaii are not shown.) Which time zone are you in?
",k1
32,32,A Way With Words,"{'Arts', 'People'}","
​​Amanda Gorman is a poet. Her poems can make people feel strong emotions. Read on to learn more about her. Find out about Gorman’s life and work. 
Presidential Poet

Gorman  a poem when Joe Biden became president. 
Speaking Up 

When Gorman was a child, some words were hard for her to say. She practiced reading her poems out loud. Her speech got better. Now speaking is one of her strengths.
Getting Started 

Gorman started writing poems as a kid. She was  by Maya Angelou. Angelou was a poet and storyteller.
A Powerful Voice

Gorman has advice for young poets. “ what makes your voice unique!”
Did You Know?

Amanda Gorman wrote a picture book. It is called Change Sings. It is about how kids can change the world with small actions. What can you do to change the world?
",k1
34,34,Know Your Emotions,"{'Health', 'Culture'}","
It is good to understand your feelings. This is called  intelligence. Read some tips below. They can help you control how you feel.  
Talk 

 
Self-talk is the voice in your head. Tell yourself you can do hard things! 
Stand Up for Yourself

 
Speak up if someone is making you feel bad. Find friends who make you happy.
Name Your Feelings 

 
People have lots of different feelings. It is okay to be happy. And it is okay to be  or angry. Try talking about how you feel.
Be Kind to Others

Can you tell when others are sad? You can help them feel better. Show them kindness. This will make you happy too!
Did You Know?

Naming things you are thankful for makes you feel happy. This is called gratitude. What are three things you are thankful for? 
",k1
35,35,Be Mindful!,"{'Health', 'The Human Body'}","
Think about what is happening right now. Try not to think about the past or the future. That is part of being mindful. You can do this anywhere. Try the 5-4-3-2-1 method below. 
 Think of 5 things you are seeing. 
It can be the sunshine. It can be your pet.
Think of 4 things you are feeling. 
Can you feel your feet on the ground? Maybe you feel an itch.
 Think of 3 things you are hearing. 
The breeze, your body, and electronics all make sounds.  
Think of 2 things you are smelling.
Breathe deeply through your nose. Do you smell anything?
 Think of 1 thing you are tasting.
Is it bitter? Salty? Sweet? What do you taste?
",k1
36,36,Historic Firsts,"{'United States', 'History'}","
February is Black History Month. Here are some firsts in Black American history.
Home Run!

Jackie Robinson played baseball. He was the first famous Black player in the major . He played for the Brooklyn Dodgers. That was in 1947. 
Super Singer

Ella Fitzgerald was a jazz singer. She won a Grammy award in 1959. She was the first Black woman to win.
Marching On

People marched in Washington, D.C., in 1963. They wanted equal treatment for all. Martin Luther King Jr. spoke at the march.
Leading a Country

Barack Obama became the first Black president of the United States in 2009. He was president for eight years.
Did You Know?

There was another March on Washington for .  It was in 2020. Many people are still fighting for equality. 
",k1
37,37,Show Your Support,"{'Community', 'Culture'}","
February is Black History Month. But you can show your support all year. Here is how.
Shop at businesses run by Black people.

You can buy things from companies run by Black people. This is Mikaila Ulmer. She has a business called Me & the Bees. It sells lemonade made with honey.
Visit a museum.

Some museums have exhibits about Black culture. This is the DuSable Museum of African American History. It is in Chicago, Illinois. It showcases Black history, culture, and art.
Read stories about Black characters.

 
Marley Dias thought more books should be about Black girls. She collected books with Black female characters. She sent the books to schools.
",k1
38,38,It's Lunar New Year!,"{'Holidays', 'World'}","
In 2022, Lunar New Year is on February 1. Many Asian countries celebrate this holiday. It is celebrated in the United States, too. Different  have different traditions. Here are some. 
People give gifts.

 
Families give each other red envelopes. There is money inside. It is for good luck.
People honor their family.

In Korea, young people bow to their . They wish them a happy New Year. Some wear  clothing. It is called hanbok. 
People eat special foods.

People eat foods that are said to bring luck. In China, people eat dumplings. They  wealth.
People watch parades. 

Dancers carry colorful puppets. Some of these look like dragons. People beat drums. They set off firecrackers. 
Did You Know?

There are many ways to wish someone a happy new year. Here are some phrases in Mandarin Chinese.
",k1
39,39,Dancing Lions,"{'Culture', 'World'}","
Lions dance down the street during Lunar New Year. They are not real lions. They are dancers in colorful costumes. 
A lion is usually made up of two dancers. One dancer controls the head. The other controls the tail. The dance takes a lot of skill. It combines martial arts and acrobatics.
Lion dances were mostly done by boys. Now they are performed by both boys and girls. Ananda Tang-Lee is a lion dancer in California. She says anyone can perform. “You have to have confidence that you can do it,” she says.
",k1
40,40,A Space Lab,"{'Science', 'Space'}","
A laboratory is a place for experiments and research. The International Space Station (ISS) is a space laboratory. Astronauts live and work there. They come from many countries.
Round and Round
The ISS is 250 miles from Earth. It travels around the planet very quickly. Think about one day on Earth. That is 24 hours. In one day, the ISS travels around Earth 16 times! 
The ISS is as long as a football field. Look at the diagram below. It tells you what each part does. Would you like to work on the ISS?


",k1
41,41,Days in Space,"{'Science', 'Space'}","
Christina Koch is an astronaut. She worked at the International Space Station. Her  lasted 328 days. Here is how she spent her time.
Researching

Koch did science experiments. She tested robots. She studied how vegetables grow in space.
Making 

The space station needed repairs. Koch would put on a spacesuit. She would step outside to do the work. 
Hanging Out

The crew ate together. See the floating fruit? There is less  in space. Things float if they are not held down.
Thinking of Home

Koch took photos of Earth. The planet was 250 miles below.  “The view takes my breath away,” Koch says. “The blues are very bright. The Earth glows.”
Did You Know?

Koch was part of an all-woman spacewalk. It was the first one ever. Koch is shown here on the right. She is with Jessica Meir. They are getting ready to step into space.
",k1
42,42,¿Gastar o ahorrar?,{'Business'},"
Tú puedes decidir qué hacer con tu dinero. ¿Lo gastarás? ¿O lo ahorrarás para más tarde? Tú elijes. Sigue leyendo para aprender más.
Tú puedes gastar dinero.

Usa el dinero para comprar lo que necesitas o quieres. Piensa antes de comprar.
Tú puedes ahorrar dinero.

Guarda el dinero en una alcancía. ¡Puedes hacer una! Cualquier recipiente es bueno. 
Tú puedes guardar tu dinero en un banco. 

¿Tienes una cuenta bancaria? Tú puedes ahorrar tu dinero ahí. El banco lo mantiene seguro hasta que lo necesitas.
Tú puedes regalar dinero.

Algunas personas no tienen una casa. Tú puedes ayudarlas a pagar por un lugar para vivir. Algunas personas tienen hambre. Tú puedes ayudarlas a comprar comida. 
¿Lo sabías?

Los billetes de dólar están hechos de algodón y lino. El algodón y el lino vienen de plantas. La ropa puede hacerse de estos mismos materiales. 

",k1
43,43,Spend or Save?,{'Business'},"
You can decide what to do with your money. Will you spend it? Or will you save it for later? The choice is yours. Read on to learn more.
You can spend money.

 
Use money to buy what you need or want. Think before you buy.
You can save money.

Keep money in a piggy . You can make one! Any  will work. 
You can keep your money in a bank. 

 
Do you have a bank ? You can save your money there. The bank will keep it safe until you need it.
You can give money.

 
Some people don’t have a home. You can help them pay for a place to stay. Some people are hungry. You can help buy them food. 
Did You Know?

Dollar bills are made from cotton and linen. Cotton and linen come from plants. Clothing can be made from these same materials. 
",k1
45,45,The Water Cycle,"{'Weather', 'Environment'}","
Water is always on the move. This movement is called the water cycle.
Around It Goes
Water is all around us. It is underground. It is on the Earth’s surface. It is in the air. Water changes as it moves from place to place.
Water can turn to ice if the weather is cold enough. Water turns into a liquid or a vapor when it is warmed by the sun. As vapor, it floats into the air. It falls back to Earth as rain or snow. Then the cycle starts all over again. This diagram shows the process. 


",k1
46,46,Winter Weather,"{'Science', 'Weather'}","
Winter is the coldest season. Watch out for ice! Ice covers trees.  It makes the ground . Read on to learn more about  icy weather.
Ice and Snow

Water freezes in the clouds. It turns into ice . They fall to the ground as snowflakes.
Balls of Ice 

See these chunks of ice? They  are called sleet. Sleet is frozen rain. If the air is cold, rain can turn to ice as it falls. 
A Shiny Coat

Rain can turn into ice when it lands. Everything gets  in ice. This is called an ice storm. This tree looks like it is coated in glass!  
A Furry Layer

Ice crystals cover the grass. They create a furry layer. This is called frost. Frost forms when  in the air freezes.
Did You Know?

A long and heavy snowstorm is called a blizzard. Wind blows the snow around. This person is clearing a path with a shovel. 
",k1
47,47,Where Do You Live?,"{'Places', 'Community'}","
A community is a group of people living or working together. A community can also be a place where people live. There are different types of communities. Read about three of them. What type do you live in?
Do you live in a city? 

There are lots of people. People are close together. There might be tall buildings. People do not have to drive everywhere. They can get around by walking. Or they can ride  and buses.
Do you live in a suburb? 

 
Homes are more spread out. There are fewer people. Many go to nearby cities to work. Houses have yards. People drive cars or ride bikes. 
Do you live in the country? 

 
You might see more land than houses. Some people live and work on farms. You might have to drive to visit your . 
",k1
48,48,On the Map,"{'Community', 'Culture'}","
Is a country bigger than a state? Is a state bigger than a city or town? Read about them below.
Country
There are nearly 200 countries. Ours is the United States. Here it is on a map.

 
State
The United States has 50 states. Which state do you live in? Point to it on the map.

City or Town
States have cities and towns. This is the state of New York. Can you find New York City? The TIME for Kids office is there. What other cities or towns do you see?


",k1
49,49,Protecting Our Country,"{'United States', 'Government'}","
The United States military has different branches, or groups. Each group helps protect the country. Read on to learn more about five of them. 
Ready to 

The Marines are an emergency force. They respond to problems quickly. Marines watch both land and sea.
Protecting the Sea

 
The Navy protects us on the sea. It works above and below the water. The Navy can  the Marines.
Guarding Our Waters 

 
The Coast Guard  the sea. It makes sure people follow laws. It also rescues people at sea.
On the Ground

 
The Army is the oldest branch of the U.S. military. It started in 1775. The Army does its work on land.
In the Air

 
The Air Force  our airspace. It can fly to where help is needed. 
",k1
50,50,A Day for Veterans,"{'United States', 'History'}","
November 11 is an important day. It is called Veterans Day. A veteran is someone who was in the military. Veterans helped keep our country safe. This day honors their bravery.
How the U.S. Celebrates
A big ceremony is held each year. It takes place at Arlington National Cemetery. That is in Virginia. The president of the United States might speak. 
Some towns have a Veterans Day parade. Many schools have the day off. There are lots of ways to honor veterans. You can make cards for them. Do you know people who have served in the military? Thank them!
",k1
51,51,Up in the Trees,"{'Earth Science', 'Animals'}","
Many  make a home in the trees. Read about some of the animals that live up high. 
Swinging from Treetops

Orangutans live in . They swing from tree to tree. They build nests in trees.
Pecking Holes

Woodpeckers live in forests all over the world. They peck holes in trees to find food.
Hanging Out 

Wild pandas live in forests in China. They are good climbers. Look at this panda . It has climbed a tree. It is resting in the branches. What do you think it sees?
Blending In with Branches

Chameleons can change color. They blend in with their . Some are found in rainforest trees. This chameleon lives in Madagascar. That is in Africa. 
Did You Know?

Dead trees can be home to living creatures. Mushrooms can grow on rotting logs. Pill bugs live underneath logs. What else lives in and around this log?  
",k1
52,52,Types of Beaks,{'Animals'},"
Every bird has a beak. It uses its beak to eat. Bird beaks come in different shapes. Read about them.  
 Hooked beaks help birds tear food. This bird is a crested caracara. It uses its beak to catch fish.

A parrot has a short curved beak. It uses its beak to open fruits and nuts.

 
A sparrow has a cone-shaped beak. It uses its beak to crush seeds. 

A flamingo has a filter-feeder beak. It uses its beak to scoop up food. The beak filters out dirt.


",k1
53,53,Inside Your Mouth,"{'Health', 'The Human Body'}","
Let’s learn about the mouth. It is an important part of the human body. You use your mouth to eat, drink, talk, and breathe. Your mouth can show how you feel. Smile! 
Your mouth has lips.

 
Lips cover the teeth. You use your lips to make sounds. You use your lips to .
Your mouth has gums.

Gums  the teeth. They help hold your teeth in place.
Your mouth has a tongue.

Your tongue helps you speak.  It also helps you eat. Your tongue moves food around in your mouth. Your tongue has taste buds on it. They let you taste different flavors. Yum!
Your mouth has teeth.

 
Teeth bite and chew. They fall out when you are young. Then new ones grow. Have you lost any teeth yet?
Did You Know?

You have different kinds of teeth. Some are for biting. Others are for chewing. This  shows the four main types of teeth.
",k1
54,54,Fresh and Clean,"{'Health', 'The Human Body'}","
It is important to keep your mouth clean and healthy. Read about four tools that can help. They keep your mouth free of germs and prevent cavities.
1. Floss slides between your teeth. It grabs food that might be stuck. You should floss every day.  
2. A toothbrush scrubs your teeth. Brush gently to clean away germs.
3. Squeeze toothpaste onto your toothbrush. Brush your teeth in the morning and at night.
4. Mouthwash cleans your whole mouth. Swish it around in your mouth after brushing. Then spit it out. An adult can show you how.
",k1
55,55,Animal World,"{'Earth Science', 'Animals'}","
The world is full of animals. They can be classified, or grouped. Read about four groups below.
Salmon are fish.

Fish live in water. Fins help them swim. Gills help them breathe. Most fish are covered in .
Robins are birds. 

Birds have feathers. Most birds have strong muscles. These muscles help birds fly. Birds  from eggs. They eat with their beaks.
Frogs are amphibians.

Amphibians are cold-blooded animals. Their body temperature changes with their . Amphibians live in water and on land.
Bears are mammals.

Mammals are warm-blooded animals. Body fat and fur help mammals stay warm. Mother mammals feed their babies milk from their bodies. Humans are mammals too! 
Did You Know?

Not all birds can fly. The ostrich is the largest bird in the world. Its wings are too weak to fly. It uses its strong legs to walk and run.
",k1
57,57,Computers Do it All,"{'Inventions', 'Technology'}","
Smartphones are computers.  and laptops are too. We use them to talk, work, and play. Let’s look at all that computers can do. 
Taking Notes

Some computer  are for writing. You can take notes about something you are learning.
Electronic Mail

A computer can send messages. They are called emails. They are  when you press “send.” 
Face-to-Face

You can make video calls from a computer. You can see and hear the people on the other end. They can see and hear you too!
Work and Play

Some websites are for games. Some are for watching videos. Others help you learn. One example is timeforkids.com! 
Did You Know?

Computers have hardware. These are parts you can see or touch. Here are some examples. Do you know what they are used for?
",k1
58,58,Stay Safe Online,"{'Community', 'Technology'}","
A computer can be lots of fun. But not everything online is meant for kids. Read these tips for staying safe online. 
Don’t talk to strangers. 
Open messages only from people you know. Tell an adult if a stranger tries to talk to you online. 
Stay where you are. 
Ask before visiting websites. Get permission before clicking on links. Do not click on anything that pops up on your screen. 
Protect yourself. 
 Keep your information private. Do not share your address online. Do not share your phone number or school name either.
Keep it kid-friendly. 
 Tell an adult if a website makes you uncomfortable.  He or she can block it for you. 

",k1
60,60,All Kinds of School,"{'Places', 'World'}","
Kids go to school to learn. Some schools are big. Some are small. Some are near and some are far. What is your school like?
Some schools are in the country.

 
Country schools might be far from home. Kids get to school by bus. Some schools are at home.
These students are in their house. 

Their mom is teaching them. What  are they learning?
Some schools are outdoors. 

Students learn from . They explore outside. These schools are called nature schools or forest schools.
Some schools are in the city.

 
City schools can be big. They have lots of students. Many kids live close enough to walk to school. This school is in New York City.
Did You Know?

Some kids go to school on the computer. This is called  school or online school. Many students went to online school during the pandemic. Did you? 
",k1
61,61,Be a Good Citizen!,"{'Community', 'People'}","
You can be a good citizen by respecting others. This makes a space feel safe. Here are four rules for a happy classroom.
1. Raise your hand. Don’t call out.
2. Listen carefully. Follow directions
3. Clean up after yourself
4. Share with others. Help others in need.
",k1
62,62,"Ready, Set, Erupt!","{'Earth Science', 'Environment'}","
A volcano is a mountain. It has a hole at the top. Some volcanoes have hot melted rock inside. Learn more about volcanoes below.
Volcanoes can .

 and  shoot out of a volcano. Lava is hot. It flows down the volcano.  
Volcanoes can be quiet.

Not all volcanoes are active. Some are dormant. This means that they have not erupted in a long time. 
People study volcanoes. 

Volcanologists are scientists. They study volcanoes. They check to see if volcanoes are . They warn people if one will erupt soon. This saves lives.
Volcanoes can form land.

Lava cools into rock. This forms new land. Hawaii was formed by volcanoes. Diamond Head volcano is in Hawaii. It is not active. 
Did You Know?

Magma is hot liquid rock. It is deep inside the volcanic mountain. When it erupts out of the mountain, it is known as lava. 
",k1
65,65,A Kid's Best Friend,"{'Science', 'Animals'}","
Researchers recently studied the bond between kids and animals. They recruited 30 children and their dogs. 

 
The kids brought their dogs to a large, empty room. The kids walked around the space. Sometimes, they paused or changed direction. “The dog was left to do whatever the dog wanted to do—run around the room, or sniff, or lie down and take a nap,” Monique Udell says. She’s one of the study’s authors. 
 
Most of the time, a dog moved like its owner. When the kid walked, the dog walked too. When the kid stopped, the dog stopped. When the kid changed direction, so did the dog. 

What does this mean? Udell says it’s a dog’s way of building a relationship with a human. Adults are usually the ones who feed and care for pets. But “the kid may play a sibling role in the life of the dog,” Udell says. “Those bonds are important to the dog.” 
",k1
